Description,Code,Selling,Buying_TT,Buying_Notes,Scrape_time
Euro,EUR,25.836558,25.265463,25.265463,2025-10-30
Pound Sterling,GBP,29.358811,28.710158,28.710158,2025-10-30
US Dollar,USD,22.276800,21.873600,21.873600,2025-10-30
Australian Dollar,AUD,14.760502,14.231855,14.145251,2025-10-30
Botswana Pula,BWP,1.595974,1.506672,1.497504,2025-10-30
Canadian Dollar,CAD,16.103729,15.528391,15.433898,2025-10-30
Swiss Franc,CHF,28.128276,27.115615,26.950611,2025-10-30
Danish Kroner,DKK,3.494125,3.369752,3.349246,2025-10-30
Indian Rupee,INR,0.254209,0.245138,0.243646,2025-10-30
Japanese Yen,JPY,0.144754,0.141557,0.141557,2025-10-30
Namibia Dollar,NAD,1.302757,1.256265,1.248621,2025-10-30
Norwegian Krone,NOK,2.236243,2.156169,2.143048,2025-10-30
New Zealand Dollar,NZD,12.945871,12.403566,12.403566,2025-10-30
Swedish Krona,SEK,2.387873,2.299645,2.285651,2025-10-30
South African Rand,ZAR,1.290418,1.261092,1.261092,2025-10-30
